
Due to MODULEPATH changes, the following have been reloaded:
  1) mii/1.1.2

The following have been reloaded with a version change:
  1) StdEnv/2020 => StdEnv/2023
  2) flexiblas/3.0.4 => flexiblas/3.3.1
  3) gcc/9.3.0 => gcc/12.3
  4) gcccore/.9.3.0 => gcccore/.12.3
  5) gentoo/2020 => gentoo/2023
  6) libfabric/1.10.1 => libfabric/1.18.0
  7) openmpi/4.0.3 => openmpi/4.1.5
  8) ucx/1.8.0 => ucx/1.14.1

[10/21/2025 14:00:55] INFO: Multiprocessing with 24 cores
[10/21/2025 14:00:55] INFO: PID 1763450: processing w4|vic: 101550026_312_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763449: processing w4|vic: 104087370_343_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763448: processing w4|vic: 104069451_470_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763451: processing w4|vic: 101429213_339_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763452: processing w4|mtl: 404047392_104_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763454: processing w4|mtl: 401318330_122_AXL.csv
[10/21/2025 14:00:55] INFO: PID 1763453: processing w4|vic: 104088541_428_AXL.csv
[10/21/2025 14:04:01] DEBUG: PID 1763440: 186.07s @ 20.7ms/row
[10/21/2025 14:04:01] INFO: PID 1763440: processing w4|vic: 102605113_328_AXL.csv
[10/21/2025 14:05:29] DEBUG: PID 1763442: 274.24s @ 374.6ms/row
[10/21/2025 14:05:29] INFO: PID 1763442: processing w4|vic: 101981972_352_AXL.csv
[10/21/2025 14:06:58] DEBUG: PID 1763449: 363.14s @ 29.3ms/row
[10/21/2025 14:06:58] INFO: PID 1763449: processing w4|vic: 104009526_338_AXL.csv
[10/21/2025 14:07:23] DEBUG: PID 1763437: 388.03s @ 31.6ms/row
[10/21/2025 14:07:23] INFO: PID 1763437: processing w4|vic: 103139862_319_AXL.csv
[10/21/2025 14:07:29] DEBUG: PID 1763443: 394.10s @ 32.1ms/row
[10/21/2025 14:07:29] INFO: PID 1763443: processing w4|mtl: 401095730_60_AXL.csv
[10/21/2025 14:07:34] DEBUG: PID 1763436: 399.01s @ 32.3ms/row
[10/21/2025 14:07:34] INFO: PID 1763436: processing w4|vic: 103546796_312_AXL.csv
[10/21/2025 14:08:27] DEBUG: PID 1763435: 451.84s @ 35.6ms/row
[10/21/2025 14:08:27] INFO: PID 1763435: processing w4|vic: 104024995_490_AXL.csv
[10/21/2025 14:08:41] DEBUG: PID 1763453: 465.74s @ 37.4ms/row
[10/21/2025 14:08:41] INFO: PID 1763453: processing w4|vic: 101973471_399_AXL.csv
[10/21/2025 14:09:04] DEBUG: PID 1763446: 488.73s @ 39.1ms/row
[10/21/2025 14:09:04] INFO: PID 1763446: processing w4|mtl: 401809607_69_AXL.csv
[10/21/2025 14:09:24] DEBUG: PID 1763448: 508.76s @ 41.0ms/row
[10/21/2025 14:09:24] INFO: PID 1763448: processing w4|mtl: 401811306_9_AXL.csv
[10/21/2025 14:09:25] DEBUG: PID 1763450: 509.84s @ 40.0ms/row
[10/21/2025 14:09:25] INFO: PID 1763450: processing w4|vic: 102890362_423_AXL.csv
[10/21/2025 14:09:35] DEBUG: PID 1763447: 520.27s @ 43.0ms/row
[10/21/2025 14:09:35] INFO: PID 1763447: processing w4|vic: 101407396_337_AXL.csv
[10/21/2025 14:09:55] DEBUG: PID 1763441: 540.50s @ 43.5ms/row
[10/21/2025 14:09:55] INFO: PID 1763441: processing w4|mtl: 401451781_111_AXL.csv
[10/21/2025 14:10:04] DEBUG: PID 1763445: 549.67s @ 44.1ms/row
[10/21/2025 14:10:04] INFO: PID 1763445: processing w4|vic: 104020462_470_AXL.csv
[10/21/2025 14:10:08] DEBUG: PID 1763452: 553.41s @ 40.3ms/row
[10/21/2025 14:10:08] INFO: PID 1763452: processing w4|mtl: 401927418_276_AXL.csv
[10/21/2025 14:10:09] DEBUG: PID 1763432: 554.24s @ 45.5ms/row
[10/21/2025 14:10:09] INFO: PID 1763432: processing w4|vic: 104010044_453_AXL.csv
[10/21/2025 14:10:17] DEBUG: PID 1763433: 561.79s @ 45.4ms/row
[10/21/2025 14:10:17] INFO: PID 1763433: processing w4|mtl: 401103480_254_AXL.csv
[10/21/2025 14:10:31] DEBUG: PID 1763451: 576.01s @ 46.6ms/row
[10/21/2025 14:10:31] INFO: PID 1763451: processing w4|mtl: 401484804_46_AXL.csv
[10/21/2025 14:11:19] DEBUG: PID 1763444: 624.39s @ 45.4ms/row
[10/21/2025 14:11:19] INFO: PID 1763444: processing w4|vic: 104914984_490_AXL.csv
[10/21/2025 14:11:50] DEBUG: PID 1763438: 655.49s @ 51.0ms/row
[10/21/2025 14:11:50] INFO: PID 1763438: processing w4|vic: 102749686_428_AXL.csv
[10/21/2025 14:11:50] DEBUG: PID 1763435: 203.82s @ 26.3ms/row
[10/21/2025 14:11:51] INFO: PID 1795876: processing w4|mtl: 401167164_78_AXL.csv
[10/21/2025 14:12:00] DEBUG: PID 1763442: 390.60s @ 31.9ms/row
[10/21/2025 14:12:00] INFO: PID 1796170: processing w4|vic: 101452903_453_AXL.csv
[10/21/2025 14:12:46] DEBUG: PID 1763449: 348.34s @ 27.3ms/row
[10/21/2025 14:12:46] INFO: PID 1799412: processing w4|vic: 102543271_338_AXL.csv
[10/21/2025 14:13:08] DEBUG: PID 1763434: 733.03s @ 53.1ms/row
[10/21/2025 14:13:08] INFO: PID 1763434: processing w4|vic: 104005835_428_AXL.csv
[10/21/2025 14:13:48] DEBUG: PID 1763436: 374.57s @ 30.7ms/row
[10/21/2025 14:13:48] INFO: PID 1802999: processing w4|vic: 103722386_352_AXL.csv
[10/21/2025 14:14:01] DEBUG: PID 1763440: 599.64s @ 48.4ms/row
[10/21/2025 14:14:01] INFO: PID 1803668: processing w4|mtl: 402495712_276_AXL.csv
[10/21/2025 14:14:06] DEBUG: PID 1763454: 791.26s @ 57.3ms/row
[10/21/2025 14:14:06] INFO: PID 1763454: processing w4|vic: 104079174_423_AXL.csv
[10/21/2025 14:15:17] DEBUG: PID 1763437: 474.19s @ 38.5ms/row
[10/21/2025 14:15:17] INFO: PID 1805856: processing w4|mtl: 401586738_122_AXL.csv
[10/21/2025 14:15:28] DEBUG: PID 1763431: 873.35s @ 69.8ms/row
[10/21/2025 14:15:28] INFO: PID 1763431: processing w4|vic: 101307761_434_AXL.csv
[10/21/2025 14:15:35] DEBUG: PID 1763453: 414.70s @ 33.5ms/row
[10/21/2025 14:15:35] INFO: PID 1806076: processing w4|vic: 103663507_328_AXL.csv
[10/21/2025 14:15:39] DEBUG: PID 1763443: 490.51s @ 35.0ms/row
[10/21/2025 14:15:40] INFO: PID 1806123: processing w4|mtl: 403144072_72_AXL.csv
[10/21/2025 14:15:58] DEBUG: PID 1763439: 903.03s @ 65.2ms/row
[10/21/2025 14:15:58] INFO: PID 1763439: processing w4|vic: 102860428_428_AXL.csv
[10/21/2025 14:16:57] DEBUG: PID 1763441: 422.00s @ 30.7ms/row
[10/21/2025 14:16:57] INFO: PID 1807535: processing w4|vic: 103932160_338_AXL.csv
[10/21/2025 14:17:20] DEBUG: PID 1763445: 435.15s @ 35.2ms/row
[10/21/2025 14:17:20] INFO: PID 1808162: processing w4|vic: 103773342_328_AXL.csv
[10/21/2025 14:17:47] DEBUG: PID 1763451: 435.75s @ 41.1ms/row
[10/21/2025 14:17:47] INFO: PID 1808980: processing w4|vic: 104021532_352_AXL.csv
[10/21/2025 14:18:10] DEBUG: PID 1763447: 515.12s @ 41.8ms/row
[10/21/2025 14:18:10] INFO: PID 1809466: processing w4|vic: 104009196_328_AXL.csv
[10/21/2025 14:18:16] DEBUG: PID 1763432: 487.10s @ 39.5ms/row
[10/21/2025 14:18:16] INFO: PID 1809572: processing w4|mtl: 401945575_179_AXL.csv
[10/21/2025 14:18:20] DEBUG: PID 1805856: 182.89s @ 213.9ms/row
[10/21/2025 14:18:20] INFO: PID 1805856: processing w4|vic: 101382479_453_AXL.csv
[10/21/2025 14:18:59] DEBUG: PID 1763438: 428.28s @ 35.0ms/row
[10/21/2025 14:18:59] INFO: PID 1810519: processing w4|vic: 103761333_470_AXL.csv
[10/21/2025 14:19:51] DEBUG: PID 1763454: 345.30s @ 28.5ms/row
[10/21/2025 14:19:51] INFO: PID 1812503: processing w4|vic: 101555830_337_AXL.csv
[10/21/2025 14:19:54] DEBUG: PID 1763448: 630.40s @ 45.6ms/row
[10/21/2025 14:19:54] INFO: PID 1812646: processing w4|vic: 101830987_312_AXL.csv
[10/21/2025 14:20:08] DEBUG: PID 1763450: 643.63s @ 50.2ms/row
[10/21/2025 14:20:08] INFO: PID 1813105: processing w4|mtl: 401967217_72_AXL.csv
[10/21/2025 14:20:38] DEBUG: PID 1763444: 558.66s @ 45.2ms/row
[10/21/2025 14:20:38] INFO: PID 1814189: processing w4|mtl: 401919451_276_AXL.csv
[10/21/2025 14:21:58] DEBUG: PID 1763434: 529.93s @ 42.6ms/row
[10/21/2025 14:21:58] INFO: PID 1816881: processing w4|vic: 102370888_319_AXL.csv
[10/21/2025 14:22:08] DEBUG: PID 1763446: 784.53s @ 55.4ms/row
[10/21/2025 14:22:08] INFO: PID 1817210: processing w4|vic: 101636205_454_AXL.csv
[10/21/2025 14:22:09] DEBUG: PID 1806076: 393.77s @ 75.9ms/row
[10/21/2025 14:22:09] INFO: PID 1806076: processing w4|mtl: 403683583_9_AXL.csv
[10/21/2025 14:22:42] DEBUG: PID 1806123: 422.50s @ 30.9ms/row
[10/21/2025 14:22:42] INFO: PID 1806123: processing w4|vic: 104062544_337_AXL.csv
[10/21/2025 14:23:06] DEBUG: PID 1802999: 557.75s @ 45.1ms/row
[10/21/2025 14:23:06] INFO: PID 1802999: processing w4|mtl: 401910101_45_AXL.csv
[10/21/2025 14:23:07] DEBUG: PID 1799412: 620.54s @ 49.6ms/row
[10/21/2025 14:23:07] INFO: PID 1799412: processing w4|vic: 104015322_428_AXL.csv
[10/21/2025 14:23:18] DEBUG: PID 1795876: 687.62s @ 49.8ms/row
[10/21/2025 14:23:18] INFO: PID 1795876: processing w4|mtl: 401272178_254_AXL.csv
[10/21/2025 14:23:30] DEBUG: PID 1763439: 451.80s @ 35.2ms/row
[10/21/2025 14:23:30] INFO: PID 1819407: processing w4|mtl: 401997401_78_AXL.csv
[10/21/2025 14:24:45] DEBUG: PID 1796170: 765.55s @ 62.0ms/row
[10/21/2025 14:24:45] INFO: PID 1796170: processing w4|mtl: 403571418_111_AXL.csv
[10/21/2025 14:26:00] DEBUG: PID 1808162: 519.83s @ 42.1ms/row
[10/21/2025 14:26:00] INFO: PID 1808162: processing w4|mtl: 404037100_9_AXL.csv
[10/21/2025 14:26:10] DEBUG: PID 1807535: 552.98s @ 68.8ms/row
[10/21/2025 14:26:10] INFO: PID 1807535: processing w4|mtl: 404846254_17_AXL.csv
[10/21/2025 14:26:17] DEBUG: PID 1810519: 438.07s @ 35.6ms/row
[10/21/2025 14:26:17] INFO: PID 1810519: processing w4|vic: 103663507_451_AXL.csv
[10/21/2025 14:26:33] DEBUG: PID 1808980: 526.62s @ 42.2ms/row
[10/21/2025 14:26:33] INFO: PID 1808980: processing w4|vic: 104006449_343_AXL.csv
[10/21/2025 14:27:32] DEBUG: PID 1809466: 562.19s @ 45.1ms/row
[10/21/2025 14:27:32] INFO: PID 1809466: processing w4|vic: 101740289_490_AXL.csv
[10/21/2025 14:28:13] DEBUG: PID 1805856: 592.90s @ 47.3ms/row
[10/21/2025 14:28:13] INFO: PID 1827117: processing w4|vic: 104082308_490_AXL.csv
[10/21/2025 14:28:20] DEBUG: PID 1803668: 858.96s @ 61.1ms/row
[10/21/2025 14:28:20] INFO: PID 1803668: processing w4|mtl: 401109691_78_AXL.csv
[10/21/2025 14:28:32] DEBUG: PID 1763452: 1103.89s @ 72.7ms/row
[10/21/2025 14:28:32] INFO: PID 1827512: processing w4|vic: 101896664_451_AXL.csv
[10/21/2025 14:29:28] DEBUG: PID 1812503: 576.23s @ 46.4ms/row
[10/21/2025 14:29:28] INFO: PID 1812503: processing w4|mtl: 402464874_102_AXL.csv
[10/21/2025 14:29:34] DEBUG: PID 1763431: 845.83s @ 68.5ms/row
[10/21/2025 14:29:34] INFO: PID 1828735: processing w4|vic: 104032477_451_AXL.csv
[10/21/2025 14:29:38] DEBUG: PID 1810519: 201.17s @ 84.8ms/row
[10/21/2025 14:29:38] INFO: PID 1828916: processing w4|mtl: 401660649_264_AXL.csv
[10/21/2025 14:30:10] DEBUG: PID 1813105: 601.85s @ 44.1ms/row
[10/21/2025 14:30:10] INFO: PID 1813105: processing w4|mtl: 401524229_9_AXL.csv
[10/21/2025 14:31:02] DEBUG: PID 1806123: 500.39s @ 40.6ms/row
[10/21/2025 14:31:03] INFO: PID 1829251: processing w4|vic: 104061629_337_AXL.csv
[10/21/2025 14:31:06] DEBUG: PID 1812646: 672.40s @ 52.3ms/row
[10/21/2025 14:31:06] INFO: PID 1812646: processing w4|vic: 101474667_343_AXL.csv
[10/21/2025 14:31:49] DEBUG: PID 1799412: 522.50s @ 42.4ms/row
[10/21/2025 14:31:50] INFO: PID 1829750: processing w4|vic: 104019376_319_AXL.csv
[10/21/2025 14:32:39] DEBUG: PID 1796170: 473.54s @ 25.5ms/row
[10/21/2025 14:32:39] INFO: PID 1829979: processing w4|mtl: 401341482_69_AXL.csv
[10/21/2025 14:32:55] DEBUG: PID 1819407: 565.03s @ 20.1ms/row
[10/21/2025 14:32:55] INFO: PID 1819407: processing w4|mtl: 401272407_235_AXL.csv
[10/21/2025 14:33:09] DEBUG: PID 1802999: 602.63s @ 43.5ms/row
[10/21/2025 14:33:09] DEBUG: PID 1763433: 1372.42s @ 98.6ms/row
[10/21/2025 14:33:09] INFO: PID 1830108: processing w4|vic: 101192364_490_AXL.csv
[10/21/2025 14:33:09] INFO: PID 1830107: processing w4|vic: 101787606_347_AXL.csv
[10/21/2025 14:33:28] DEBUG: PID 1817210: 679.79s @ 54.9ms/row
[10/21/2025 14:33:28] INFO: PID 1817210: processing w4|vic: 103932160_343_AXL.csv
[10/21/2025 14:34:13] DEBUG: PID 1808162: 493.72s @ 35.8ms/row
[10/21/2025 14:34:14] INFO: PID 1830954: processing w4|vic: 102741390_317_AXL.csv
[10/21/2025 14:35:13] DEBUG: PID 1809466: 460.47s @ 37.0ms/row
[10/21/2025 14:35:13] INFO: PID 1832372: processing w4|vic: 102567670_428_AXL.csv
[10/21/2025 14:35:44] DEBUG: PID 1809572: 1047.44s @ 77.3ms/row
[10/21/2025 14:35:44] INFO: PID 1809572: processing w4|vic: 102741390_490_AXL.csv
[10/21/2025 14:36:16] DEBUG: PID 1814189: 937.71s @ 61.7ms/row
[10/21/2025 14:36:16] INFO: PID 1814189: processing w4|vic: 102475434_451_AXL.csv
[10/21/2025 14:36:36] DEBUG: PID 1808980: 603.00s @ 48.9ms/row
[10/21/2025 14:36:37] INFO: PID 1835032: processing w4|vic: 104039365_434_AXL.csv
[10/21/2025 14:36:37] WARNING: Unable to find participant #104039365/sd #434 in top_sd4.top_1min_vic, skipping
[10/21/2025 14:36:37] INFO: PID 1835032: processing w4|vic: 101072948_490_AXL.csv
[10/21/2025 14:37:31] DEBUG: PID 1809572: 107.58s @ 44.9ms/row
[10/21/2025 14:37:31] INFO: PID 1837705: processing w4|vic: 102877373_352_AXL.csv
[10/21/2025 14:37:58] DEBUG: PID 1816881: 960.44s @ 77.4ms/row
[10/21/2025 14:37:58] INFO: PID 1816881: processing w4|mtl: 401440362_46_AXL.csv
[10/21/2025 14:38:00] DEBUG: PID 1827512: 567.81s @ 21.1ms/row
[10/21/2025 14:38:00] INFO: PID 1827512: processing w4|mtl: 401399249_162_AXL.csv
[10/21/2025 14:38:10] DEBUG: PID 1827117: 597.01s @ 48.0ms/row
[10/21/2025 14:38:10] INFO: PID 1827117: processing w4|vic: 101053220_328_AXL.csv
[10/21/2025 14:38:25] DEBUG: PID 1795876: 906.85s @ 65.2ms/row
[10/21/2025 14:38:25] INFO: PID 1839253: processing w4|vic: 101356709_453_AXL.csv
[10/21/2025 14:38:27] DEBUG: PID 1829251: 444.67s @ 36.2ms/row
[10/21/2025 14:38:27] INFO: PID 1829251: processing w4|vic: 104087912_312_AXL.csv
[10/21/2025 14:38:44] DEBUG: PID 1812646: 457.71s @ 36.8ms/row
[10/21/2025 14:38:45] INFO: PID 1840021: processing w4|vic: 104024051_434_AXL.csv
[10/21/2025 14:38:57] DEBUG: PID 1828735: 562.91s @ 45.5ms/row
[10/21/2025 14:38:57] INFO: PID 1828735: processing w4|vic: 104073213_399_AXL.csv
[10/21/2025 14:39:09] DEBUG: PID 1812503: 580.98s @ 45.9ms/row
[10/21/2025 14:39:09] INFO: PID 1841556: processing w4|vic: 104056185_337_AXL.csv
[10/21/2025 14:39:10] DEBUG: PID 1803668: 650.04s @ 47.0ms/row
[10/21/2025 14:39:10] INFO: PID 1841592: processing w4|vic: 101996732_399_AXL.csv
[10/21/2025 14:39:29] DEBUG: PID 1807535: 798.55s @ 56.8ms/row
[10/21/2025 14:39:29] INFO: PID 1842525: processing w4|mtl: 402949876_72_AXL.csv
[10/21/2025 14:40:13] DEBUG: PID 1828916: 634.47s @ 46.0ms/row
[10/21/2025 14:40:13] INFO: PID 1828916: processing w4|mtl: 402435135_253_AXL.csv
[10/21/2025 14:40:30] DEBUG: PID 1830954: 376.36s @ 72.1ms/row
[10/21/2025 14:40:30] INFO: PID 1830954: processing w4|vic: 104035105_434_AXL.csv
[10/21/2025 14:41:10] DEBUG: PID 1813105: 659.89s @ 48.8ms/row
[10/21/2025 14:41:10] INFO: PID 1849003: processing w4|vic: 104044025_428_AXL.csv
[10/21/2025 14:41:44] DEBUG: PID 1830108: 514.70s @ 63.5ms/row
[10/21/2025 14:41:44] INFO: PID 1830108: processing w4|vic: 101192364_347_AXL.csv
[10/21/2025 14:41:53] DEBUG: PID 1806076: 1183.67s @ 85.1ms/row
[10/21/2025 14:41:53] INFO: PID 1850596: processing w4|mtl: 401442080_102_AXL.csv
[10/21/2025 14:42:19] DEBUG: PID 1814189: 363.52s @ 30.8ms/row
[10/21/2025 14:42:19] INFO: PID 1850878: processing w4|mtl: 401664309_253_AXL.csv
[10/21/2025 14:42:29] DEBUG: PID 1817210: 541.14s @ 102.9ms/row
[10/21/2025 14:42:30] INFO: PID 1851072: processing w4|vic: 104063135_338_AXL.csv
[10/21/2025 14:42:36] DEBUG: PID 1830107: 567.25s @ 46.7ms/row
[10/21/2025 14:42:36] INFO: PID 1830107: processing w4|vic: 104008847_338_AXL.csv
[10/21/2025 14:43:30] DEBUG: PID 1829979: 650.68s @ 42.9ms/row
[10/21/2025 14:43:30] INFO: PID 1829979: processing w4|vic: 101202069_423_AXL.csv
[10/21/2025 14:44:27] DEBUG: PID 1829251: 359.96s @ 28.8ms/row
[10/21/2025 14:44:27] INFO: PID 1855027: processing w4|vic: 102649509_312_AXL.csv
[10/21/2025 14:44:28] DEBUG: PID 1829750: 757.98s @ 61.0ms/row
[10/21/2025 14:44:28] INFO: PID 1829750: processing w4|vic: 104053176_339_AXL.csv
[10/21/2025 14:44:40] DEBUG: PID 1837705: 428.47s @ 37.1ms/row
[10/21/2025 14:44:40] INFO: PID 1837705: processing w4|mtl: 401399757_104_AXL.csv
[10/21/2025 14:44:46] DEBUG: PID 1830108: 182.12s @ 39.5ms/row
[10/21/2025 14:44:46] INFO: PID 1855305: processing w4|vic: 101050476_343_AXL.csv
[10/21/2025 14:46:18] DEBUG: PID 1819407: 803.68s @ 58.0ms/row
[10/21/2025 14:46:19] INFO: PID 1858501: processing w4|vic: 102643856_399_AXL.csv
[10/21/2025 14:46:37] DEBUG: PID 1842525: 428.35s @ 31.0ms/row
[10/21/2025 14:46:37] INFO: PID 1842525: processing w4|mtl: 401936329_235_AXL.csv
[10/21/2025 14:47:28] DEBUG: PID 1832372: 735.25s @ 58.6ms/row
[10/21/2025 14:47:28] INFO: PID 1832372: processing w4|vic: 102755345_339_AXL.csv
[10/21/2025 14:48:50] DEBUG: PID 1841592: 579.84s @ 46.5ms/row
[10/21/2025 14:48:50] INFO: PID 1841592: processing w4|mtl: 401669659_147_AXL.csv
[10/21/2025 14:48:51] DEBUG: PID 1827117: 641.26s @ 51.2ms/row
[10/21/2025 14:48:51] INFO: PID 1868922: processing w4|mtl: 401630460_17_AXL.csv
[10/21/2025 14:49:07] DEBUG: PID 1835032: 750.65s @ 58.0ms/row
[10/21/2025 14:49:08] INFO: PID 1869357: processing w4|vic: 101941930_434_AXL.csv
[10/21/2025 14:49:45] DEBUG: PID 1816881: 706.46s @ 56.9ms/row
[10/21/2025 14:49:45] INFO: PID 1871321: processing w4|vic: 104076949_352_AXL.csv
[10/21/2025 14:50:42] DEBUG: PID 1829979: 432.09s @ 34.9ms/row
[10/21/2025 14:50:42] INFO: PID 1874287: processing w4|mtl: 401791704_102_AXL.csv
[10/21/2025 14:50:55] DEBUG: PID 1828735: 718.47s @ 57.8ms/row
[10/21/2025 14:50:56] INFO: PID 1875169: processing w4|vic: 104036795_319_AXL.csv
[10/21/2025 14:50:57] DEBUG: PID 1839253: 751.48s @ 61.0ms/row
[10/21/2025 14:50:57] INFO: PID 1839253: processing w4|vic: 102993750_434_AXL.csv
[10/21/2025 14:51:07] DEBUG: PID 1850878: 527.21s @ 37.6ms/row
[10/21/2025 14:51:07] INFO: PID 1850878: processing w4|vic: 101534317_434_AXL.csv
[10/21/2025 14:51:31] DEBUG: PID 1827512: 810.91s @ 58.2ms/row
[10/21/2025 14:51:31] INFO: PID 1877427: processing w4|mtl: 402141286_169_AXL.csv
[10/21/2025 14:51:48] DEBUG: PID 1850596: 595.12s @ 42.3ms/row
[10/21/2025 14:51:48] INFO: PID 1850596: processing w4|mtl: 401548872_8_AXL.csv
[10/21/2025 14:52:15] DEBUG: PID 1841556: 786.22s @ 63.7ms/row
[10/21/2025 14:52:15] INFO: PID 1841556: processing w4|vic: 104040150_337_AXL.csv
[10/21/2025 14:52:50] DEBUG: PID 1855027: 502.52s @ 41.0ms/row
[10/21/2025 14:52:50] INFO: PID 1855027: processing w4|vic: 102886115_312_AXL.csv
[10/21/2025 14:52:52] DEBUG: PID 1840021: 847.38s @ 65.6ms/row
[10/21/2025 14:52:52] INFO: PID 1840021: processing w4|mtl: 401760345_72_AXL.csv
[10/21/2025 14:53:39] DEBUG: PID 1855305: 533.14s @ 43.0ms/row
[10/21/2025 14:53:39] INFO: PID 1855305: processing w4|vic: 104246930_337_AXL.csv
[10/21/2025 14:54:06] DEBUG: PID 1830954: 816.05s @ 64.2ms/row
[10/21/2025 14:54:52] DEBUG: PID 1841592: 362.73s @ 343.2ms/row
[10/21/2025 14:55:01] DEBUG: PID 1858501: 522.23s @ 42.2ms/row
[10/21/2025 14:55:01] INFO: PID 1858501: processing w4|mtl: 401910151_254_AXL.csv
[10/21/2025 14:55:13] DEBUG: PID 1829750: 645.19s @ 52.1ms/row
[10/21/2025 14:55:42] DEBUG: PID 1837705: 662.02s @ 33.8ms/row
[10/21/2025 14:56:24] DEBUG: PID 1832372: 535.58s @ 43.0ms/row
[10/21/2025 14:56:26] DEBUG: PID 1869357: 438.28s @ 35.7ms/row
[10/21/2025 14:56:26] INFO: PID 1869357: processing w4|vic: 102622945_423_AXL.csv
[10/21/2025 14:56:30] DEBUG: PID 1875169: 333.95s @ 120.5ms/row
[10/21/2025 14:56:30] INFO: PID 1875169: processing w4|vic: 104039542_343_AXL.csv
[10/21/2025 14:56:38] DEBUG: PID 1851072: 848.01s @ 67.1ms/row
[10/21/2025 14:56:38] INFO: PID 1851072: processing w4|mtl: 401860045_17_AXL.csv
[10/21/2025 14:56:45] DEBUG: PID 1868922: 473.26s @ 34.0ms/row
[10/21/2025 14:56:45] INFO: PID 1868922: processing w4|vic: 104007875_399_AXL.csv
[10/21/2025 14:56:45] DEBUG: PID 1849003: 934.94s @ 75.3ms/row
[10/21/2025 14:56:45] INFO: PID 1849003: processing w4|vic: 101920543_399_AXL.csv
[10/21/2025 14:58:02] DEBUG: PID 1871321: 497.15s @ 39.9ms/row
[10/21/2025 14:58:02] INFO: PID 1871321: processing w4|vic: 104007875_312_AXL.csv
[10/21/2025 14:58:18] DEBUG: PID 1828916: 1085.01s @ 78.3ms/row
[10/21/2025 14:58:35] DEBUG: PID 1850878: 448.06s @ 36.0ms/row
[10/21/2025 14:59:08] DEBUG: PID 1841556: 413.26s @ 32.8ms/row
[10/21/2025 14:59:27] DEBUG: PID 1868922: 162.07s @ 37.5ms/row
[10/21/2025 15:00:21] DEBUG: PID 1830107: 1064.75s @ 88.4ms/row
[10/21/2025 15:00:35] DEBUG: PID 1855027: 464.54s @ 38.1ms/row
slurmstepd: error: *** JOB 8424708 ON fc20463 CANCELLED AT 2025-10-21T15:00:35 DUE TO TIME LIMIT ***
